Date,GLD_Price,USD_KRW
2017-01-02,1151.67,1209.00
2017-01-03,1151.35,1206.00
2017-01-04,1164.23,1203.00
2017-01-05,1172.59,1188.00
2017-01-06,1176.25,1193.50
2017-01-09,1176.85,1206.00
2017-01-10,1184.76,1197.50
2017-01-11,1189.15,1196.00
2017-01-12,1204.24,1178.00
2017-01-13,1195.05,1175.00
2017-01-16,1202.35,1184.50
2017-01-17,1213.29,1169.50
2017-01-18,1211.71,1166.50
2017-01-19,1203.52,1177.50
2017-01-20,1203.31,1174.00
2017-01-23,1212.31,1168.50
2017-01-24,1213.78,1167.00
2017-01-25,1202.52,1166.00
2017-01-26,1196.69,1162.50
2017-01-31,1196.52,1164.00
2017-02-01,1210.66,1155.50
2017-02-02,1218.80,1146.00
2017-02-03,1212.45,1149.00
2017-02-06,1223.53,1138.00
2017-02-07,1231.71,1145.50
2017-02-08,1236.94,1147.50
2017-02-09,1243.34,1145.00
2017-02-10,1225.61,1148.00
2017-02-13,1230.23,1151.50
2017-02-14,1228.23,1139.50
2017-02-15,1225.20,1141.50
2017-02-16,1238.17,1140.50
2017-02-17,1237.32,1148.00
2017-02-20,1235.21,1147.50
2017-02-21,1232.91,1146.50
2017-02-22,1236.49,1143.50
2017-02-23,1236.52,1138.50
2017-02-24,1254.71,1131.50
2017-02-27,1255.55,1134.00
2017-02-28,1252.80,1128.00
2017-03-02,1243.45,1144.00
2017-03-03,1226.21,1157.00
2017-03-06,1234.57,1155.00
2017-03-07,1224.03,1150.00
2017-03-08,1212.35,1149.50
2017-03-09,1203.81,1160.00
2017-03-10,1197.09,1157.50
2017-03-13,1208.89,1147.50
2017-03-14,1204.37,1150.00
2017-03-15,1202.89,1144.00
2017-03-16,1224.87,1131.00
2017-03-17,1227.29,1133.00
2017-03-20,1232.48,1120.00
2017-03-21,1232.29,1119.50
2017-03-22,1246.46,1124.00
2017-03-23,1249.14,1122.50
2017-03-24,1242.39,1122.50
2017-03-27,1256.64,1112.50
2017-03-28,1253.71,1113.00
2017-03-29,1253.04,1114.50
2017-03-30,1251.31,1117.00
2017-03-31,1243.66,1118.00
2017-04-03,1245.73,1118.00
2017-04-04,1258.43,1123.50
2017-04-05,1254.50,1125.00
2017-04-06,1254.02,1131.50
2017-04-07,1263.68,1134.00
2017-04-10,1252.77,1142.00
2017-04-11,1257.04,1146.00
2017-04-12,1272.58,1140.00
2017-04-13,1285.61,1131.50
2017-04-14,1286.19,1141.00
2017-04-17,1289.12,1137.50
2017-04-18,1284.60,1143.50
2017-04-19,1282.54,1140.50
2017-04-20,1279.06,1138.50
2017-04-21,1281.12,1136.00
2017-04-24,1271.49,1130.00
2017-04-25,1269.27,1127.00
2017-04-26,1264.26,1129.00
2017-04-27,1263.85,1134.00
2017-04-28,1266.82,1138.00
2017-05-02,1255.22,1130.50
2017-05-04,1235.43,1134.00
2017-05-08,1230.49,1132.80
2017-05-10,1222.41,1136.00
2017-05-11,1221.38,1129.00
2017-05-12,1229.57,1127.50
2017-05-15,1230.37,1123.20
2017-05-16,1233.24,1118.00
2017-05-17,1244.15,1120.50
2017-05-18,1257.51,1125.00
2017-05-19,1250.07,1123.00
2017-05-22,1255.19,1119.00
2017-05-23,1258.89,1124.00
2017-05-24,1252.83,1124.50
2017-05-25,1258.61,1118.50
2017-05-26,1264.24,1119.00
2017-05-29,1267.17,1121.70
2017-05-30,1265.13,1125.00
2017-05-31,1263.89,1118.50
2017-06-01,1267.47,1121.50
2017-06-02,1261.11,1123.00
2017-06-05,1280.59,1118.00
2017-06-07,1293.79,1123.00
2017-06-08,1285.57,1122.50
2017-06-09,1274.05,1124.00
2017-06-12,1269.51,1130.50
2017-06-13,1262.29,1129.50
2017-06-14,1268.10,1124.50
2017-06-15,1261.51,1126.00
2017-06-16,1254.84,1133.50
2017-06-19,1251.63,1133.50
2017-06-20,1246.75,1137.50
