Date,Close,Open,High,Low,Volue_K,Volume
2017-01-01,995.40,963.40,1001.60,956.10,41.15,41150.00
2017-01-02,1017.00,995.40,1031.70,990.20,64.95,64950.00
2017-01-03,1033.30,1017.00,1035.50,1006.50,54.79,54790.00
2017-01-04,1135.40,1033.30,1148.50,1022.30,156.27,156270.00
2017-01-05,989.30,1135.40,1150.60,874.50,240.01,240010.00
2017-01-06,886.20,989.30,1027.40,852.50,194.29,194290.00
2017-01-07,888.90,886.20,900.90,806.70,130.66,130660.00
2017-01-08,900.90,888.90,936.10,875.80,76.91,76910.00
2017-01-09,899.80,900.90,910.50,870.90,62.58,62580.00
2017-01-10,904.40,899.80,911.30,890.10,53.71,53710.00
2017-01-11,785.40,904.40,917.70,751.60,194.44,194440.00
2017-01-12,810.10,785.40,828.20,739.50,120.24,120240.00
2017-01-13,824.80,810.10,835.00,771.00,89.86,89860.00
2017-01-14,819.60,824.80,838.90,808.30,44.21,44210.00
2017-01-15,821.20,819.60,826.40,808.60,24.40,24400.00
2017-01-16,827.30,821.20,836.70,817.70,33.22,33220.00
2017-01-17,899.70,827.30,906.40,825.00,82.21,82210.00
2017-01-18,872.00,899.70,913.70,845.90,69.26,69260.00
2017-01-19,895.20,872.00,905.30,870.70,58.44,58440.00
2017-01-20,892.90,895.20,901.50,878.90,38.87,38870.00
2017-01-21,919.80,892.90,928.90,889.50,40.38,40380.00
2017-01-22,918.80,919.80,938.40,888.60,47.93,47930.00
2017-01-23,921.50,918.80,928.00,910.80,32.74,32740.00
2017-01-24,893.80,921.50,925.60,889.20,58.87,58870.00
2017-01-25,894.40,893.80,905.70,883.60,37.90,37900.00
2017-01-26,915.60,894.40,919.30,893.50,33.80,33800.00
2017-01-27,918.00,915.60,922.60,907.90,30.97,30970.00
2017-01-28,918.50,918.00,921.90,912.80,14.31,14310.00
2017-01-29,914.50,918.50,922.40,912.70,11.05,11050.00
2017-01-30,920.70,914.50,922.30,911.50,19.06,19060.00
2017-01-31,965.50,920.70,967.50,917.40,54.67,54670.00
2017-02-01,982.40,965.50,986.60,959.80,45.22,45220.00
2017-02-02,1004.00,982.40,1009.10,973.50,50.86,50860.00
2017-02-03,1013.00,1004.00,1023.70,989.20,61.67,61670.00
2017-02-04,1031.80,1013.00,1041.00,1000.40,39.46,39460.00
