Date,Shanghai
2017-01-03,3135.92
2017-01-04,3158.79
2017-01-05,3165.41
2017-01-06,3154.32
2017-01-09,3171.24
2017-01-10,3161.67
2017-01-11,3136.75
2017-01-12,3119.29
2017-01-13,3112.76
2017-01-16,3103.43
2017-01-17,3108.77
2017-01-18,3113.01
2017-01-19,3101.30
2017-01-20,3123.14
2017-01-23,3136.77
2017-01-24,3142.55
2017-01-25,3149.55
2017-01-26,3159.17
2017-02-03,3140.17
2017-02-06,3156.98
2017-02-07,3153.09
2017-02-08,3166.98
2017-02-09,3183.18
2017-02-10,3196.70
2017-02-13,3216.84
2017-02-14,3217.93
2017-02-15,3212.99
2017-02-16,3229.62
2017-02-17,3202.08
2017-02-20,3239.96
2017-02-21,3253.33
2017-02-22,3261.22
2017-02-23,3251.38
2017-02-24,3253.43
2017-02-27,3228.66
2017-02-28,3241.73
2017-03-01,3246.93
2017-03-02,3230.03
2017-03-03,3218.31
2017-03-06,3233.87
2017-03-07,3242.41
2017-03-08,3240.66
2017-03-09,3216.75
2017-03-10,3212.76
2017-03-13,3237.02
2017-03-14,3239.33
2017-03-15,3241.76
2017-03-16,3268.94
2017-03-17,3237.45
2017-03-20,3250.81
2017-03-21,3261.61
2017-03-22,3245.22
2017-03-23,3248.55
2017-03-24,3269.45
2017-03-27,3266.96
2017-03-28,3252.95
2017-03-29,3241.31
2017-03-30,3210.24
2017-03-31,3222.51
2017-04-05,3270.31
2017-04-06,3281.00
2017-04-07,3286.62
2017-04-10,3269.39
2017-04-11,3288.97
2017-04-12,3273.83
2017-04-13,3275.96
2017-04-14,3246.07
2017-04-17,3222.17
2017-04-18,3196.71
2017-04-19,3170.69
2017-04-20,3172.10
2017-04-21,3173.15
2017-04-24,3129.53
2017-04-25,3134.57
2017-04-26,3140.85
2017-04-27,3152.19
2017-04-28,3154.66
2017-05-02,3143.71
2017-05-03,3135.35
2017-05-04,3127.37
2017-05-05,3103.04
2017-05-08,3078.61
2017-05-09,3080.53
2017-05-10,3052.78
2017-05-11,3061.50
2017-05-12,3083.51
2017-05-15,3090.23
2017-05-16,3112.96
2017-05-17,3104.44
2017-05-18,3090.14
2017-05-19,3090.63
2017-05-22,3075.68
2017-05-23,3061.95
2017-05-24,3064.08
2017-05-25,3107.83
2017-05-26,3110.06
2017-05-31,3117.18
2017-06-01,3102.62
2017-06-02,3105.54
2017-06-05,3091.66
2017-06-06,3102.13
2017-06-07,3140.32
2017-06-08,3150.33
2017-06-09,3158.40
2017-06-12,3139.88
2017-06-13,3153.74
2017-06-14,3130.67
2017-06-15,3132.49
2017-06-16,3123.17
2017-06-19,3144.37
2017-06-20,3140.01
2017-06-21,3156.21
2017-06-22,3147.45
2017-06-23,3157.87
2017-06-26,3185.44
2017-06-27,3191.20
2017-06-28,3173.20
2017-06-29,3188.06
2017-06-30,3192.43
2017-07-03,3195.91
2017-07-04,3182.80
2017-07-05,3207.13
2017-07-06,3212.44
2017-07-07,3217.96
2017-07-10,3212.63
2017-07-11,3203.04
2017-07-12,3197.54
2017-07-13,3218.16
2017-07-14,3222.42
2017-07-17,3176.46
2017-07-18,3187.57
2017-07-19,3230.98
2017-07-20,3244.86
2017-07-21,3237.98
2017-07-24,3250.60
2017-07-25,3243.69
2017-07-26,3247.67
2017-07-27,3249.78
2017-07-28,3253.24
2017-07-31,3273.03
2017-08-01,3292.64
2017-08-02,3285.06
2017-08-03,3272.93
2017-08-04,3262.08
2017-08-07,3279.46
2017-08-08,3281.87
2017-08-09,3275.57
2017-08-10,3261.75
2017-08-11,3208.54
2017-08-14,3237.36
2017-08-15,3251.26
2017-08-16,3246.45
2017-08-17,3268.43
2017-08-18,3268.72
2017-08-21,3286.91
2017-08-22,3290.23
2017-08-23,3287.70
2017-08-24,3271.51
2017-08-25,3331.52
2017-08-28,3362.65
2017-08-29,3365.23
2017-08-30,3363.63
2017-08-31,3360.81
2017-09-01,3367.12
2017-09-04,3379.58
2017-09-05,3384.32
2017-09-06,3385.39
2017-09-07,3365.50
2017-09-08,3365.24
2017-09-11,3376.42
2017-09-12,3379.49
2017-09-13,3384.15
2017-09-14,3371.43
2017-09-15,3353.62
2017-09-18,3362.86
2017-09-19,3356.84
2017-09-20,3366.00
2017-09-21,3357.81
2017-09-22,3352.53
2017-09-25,3341.55
2017-09-26,3343.58
2017-09-27,3345.27
2017-09-28,3339.64
2017-09-29,3348.94
2017-10-09,3374.38
2017-10-10,3382.99
2017-10-11,3388.28
2017-10-12,3386.10
2017-10-13,3390.52
2017-10-16,3378.47
2017-10-17,3372.04
2017-10-18,3381.79
2017-10-19,3370.17
2017-10-20,3378.65
2017-10-23,3380.70
2017-10-24,3388.25
2017-10-25,3396.90
2017-10-26,3407.57
2017-10-27,3416.81
2017-10-30,3390.34
2017-10-31,3393.34
2017-11-01,3395.91
2017-11-02,3383.31
2017-11-03,3371.74
2017-11-06,3388.17
2017-11-07,3413.57
2017-11-08,3415.46
2017-11-09,3427.79
2017-11-10,3432.67
2017-11-13,3447.84
2017-11-14,3429.55
2017-11-15,3402.52
